hanzi,pinyin,meaning,distractor_1,distractor_2,distractor_3,distractor_4,distractor_5,distractor_6,distractor_7,distractor_8,distractor_9,level
杯,bēi,cup,朴,林,怀,材,补,麻,环,杆,坏,HSK1
昨,zuó,yesterday,矩,卧,暗,柜,柏,审,智,晤,相,HSK1
有,yǒu,to possess,肖,存,乍,毕,侍,酒,窄,俏,苟,HSK1
中,zhōng,middle,申,由,廿,击,甘,甲,串,叶,田,HSK1
上,shàng,above,正,工,士,土,止,呈,占,卓,早,HSK1
生,shēng,life,牛,年,丰,主,午,开,苗,庄,半,HSK1
那,nà,that,都,邦,郁,邪,廊,郑,防,陡,部,HSK1
着,zhe,to continue,看,差,春,眷,售,暮,署,奢,暑,HSK1
下,xià,below,否,吓,音,西,亡,岩,早,石,卧,HSK1
后,hòu,behind,启,店,盾,斤,杏,居,届,月,肩,HSK1
事,shì,matter,掌,青,董,害,毒,辜,寓,薯,嘉,HSK1
方,fāng,direction,万,力,乃,刀,仿,历,分,九,刃,HSK1
多,duō,many,侈,衫,哆,灸,移,修,冬,爹,够,HSK1
天,tiān,heaven,夫,矢,犬,关,失,央,夹,大,厌,HSK1
小,xiǎo,small,心,勺,亦,穴,匀,化,少,兴,乃,HSK1
样,yàng,appearance,程,桂,柱,佯,秤,详,枉,件,粘,HSK1
想,xiǎng,to think,惩,粽,鲸,损,悲,栋,澳,掠,磅,HSK1
正,zhèng,correct,臣,工,上,王,旧,玉,干,士,土,HSK1
外,wài,outside,水,处,歹,伏,依,价,状,岁,芥,HSK1
很,hěn,very,恨,根,银,浪,痕,依,袁,哀,衰,HSK1
最,zuì,most,坚,暮,墓,垦,肾,宴,妻,督,衰,HSK1
体,tǐ,body,休,保,林,床,木,术,宋,栓,朱,HSK1
见,jiàn,to see,吭,党,凡,冠,觉,厄,讥,坑,宪,HSK1
名,míng,name,各,含,客,拾,杏,香,恰,合,奋,HSK1
别,bié,don't,判,吭,削,党,呢,剖,房,刑,宪,HSK1
白,bái,white,百,日,且,古,自,旧,吉,目,亩,HSK1
识,shí,knowledge,帜,职,凉,织,谅,京,惊,积,原,HSK1
风,fēng,wind,凤,咸,戒,成,庞,或,讽,底,伤,HSK1
服,fú,apparel,腹,敲,般,腺,膀,寂,骆,散,报,HSK1
元,yuán,dollar,完,无,克,兄,兑,厅,冗,党,匹,HSK1
呢,ne,how about,咙,原,码,凯,别,损,屁,祝,府,HSK1
花,huā,flowers,华,存,仔,抒,蛇,拧,诧,老,屹,HSK1
请,qǐng,to invite,谱,谓,情,惰,词,语,搞,谊,谐,HSK1
早,zǎo,early,旱,卓,百,干,晋,昔,臣,草,岩,HSK1
找,zhǎo,to look for,我,拼,拽,拢,挠,划,挨,挣,挽,HSK1
吃,chī,to eat,屹,乞,艺,忆,亿,挖,序,花,老,HSK1
图,tú,picture,囱,菌,窗,医,卤,窜,辈,匿,筐,HSK1
语,yǔ,language,悟,谊,谱,证,诺,智,磊,恒,惜,HSK1
诉,sù,to accuse,祈,很,拆,侦,析,斥,折,恨,垢,HSK1
试,shì,test,讯,拭,汛,讨,域,诧,既,诫,花,HSK1
树,shù,tree,栋,祷,粹,梯,橙,钢,橱,拣,衬,HSK1
差,chà,to differ,着,奉,羞,塞,墓,磊,寿,筐,库,HSK1
岁,suì,years of age,罗,步,萝,歹,歧,泉,很,哀,列,HSK1
左,zuǒ,left,庄,右,压,庙,店,午,在,牙,本,HSK1
楼,lóu,multistory building,搂,释,棱,裸,稀,婪,格,核,嗓,HSK1
班,bān,class,琐,斑,街,萄,塘,绰,堤,损,塔,HSK1
肉,ròu,meat,丙,内,安,实,衷,买,闪,竖,迭,HSK1
忘,wàng,to forget,总,志,悲,窍,恶,亲,宏,息,忠,HSK1
床,chuáng,bed,宋,朱,术,来,木,未,庆,体,末,HSK1
妹,mèi,younger sister,殊,媒,抹,故,技,敌,联,枝,艰,HSK1
桌,zhuō,table,某,束,呆,莫,栗,吴,查,是,柬,HSK1
课,kè,lesson,程,谍,谋,禅,详,棵,裸,谁,样,HSK1
菜,cài,vegetable,采,梁,奕,染,案,突,变,秀,梨,HSK1
茶,chá,tea,余,芥,祭,奈,条,途,徐,苍,芬,HSK1
净,jìng,clean,符,涌,惫,馅,淹,鸿,僚,祭,淆,HSK1
是,shì,to be,足,桌,定,莫,弄,吴,昼,走,星,HSK1
在,zài,at,壮,住,右,扛,佳,扯,枉,钻,宝,HSK1
我,wǒ,I,找,哦,戏,俄,钱,残,拔,爸,娥,HSK1
国,guó,country,呈,固,皇,量,旱,堂,罩,吾,匪,HSK1
地,dì,ground,拖,抱,他,批,跑,把,弛,耽,扰,HSK1
会,huì,meeting,余,金,全,合,奈,食,含,茶,令,HSK1
能,néng,ability,毙,舵,挖,乳,窃,挎,鸦,弛,锐,HSK1
家,jiā,house,蒙,象,获,奏,养,逐,稼,嫁,像,HSK1
去,qù,to go,县,丢,车,至,云,辛,卡,空,尝,HSK1
学,xué,to study,字,孪,穿,孕,拦,窝,茅,尝,享,HSK1
同,tóng,same,司,间,可,高,宣,宫,问,富,固,HSK1
现,xiàn,present,耽,规,境,损,纯,瑰,捣,揽,琉,HSK1
没,méi,to not have,设,役,济,段,汉,纹,波,沃,狡,HSK1
动,dòng,to move,劫,灯,访,张,功,助,府,伤,炖,HSK1
面,miàn,face,亩,臣,干,里,王,咀,百,旺,甲,HSK1
些,xiē,some,拦,碧,享,窖,号,室,商,孟,辈,HSK1
关,guān,to shut,失,夹,夫,天,矢,犬,类,庆,央,HSK1
点,diǎn,spot,羔,忠,照,驻,职,哄,思,煮,症,HSK1
新,xīn,new,斩,薪,碌,崭,惭,断,轻,斯,寂,HSK1
身,shēn,body,良,肾,香,泉,某,痕,萝,衰,俱,HSK1
次,cì,occurrence,炊,欢,饮,欲,欣,坎,钦,沙,砍,HSK1
东,dōng,east,讨,杂,亲,亦,宏,凉,传,杀,刹,HSK1
气,qì,air,氧,氢,氛,包,武,式,讯,贰,夸,HSK1
放,fàng,to release,胶,纹,牧,奴,版,股,饭,肢,驭,HSK1
住,zhù,to dwell,伴,在,往,柱,估,佳,佯,什,任,HSK1
今,jīn,now,令,伶,含,会,贪,个,余,冷,怜,HSK1
笑,xiào,to laugh,奖,桨,务,矣,芬,秀,突,处,役,HSK1
远,yuǎn,distant,选,迅,迈,边,况,抗,恍,杭,院,HSK1
字,zì,character,学,享,亨,子,拦,毕,宇,存,寄,HSK1
爱,ài,love,奏,复,葵,娶,漫,埃,妥,致,挨,HSK1
息,xī,breath,意,鸣,惠,患,呜,恩,悲,驾,总,HSK1
视,shì,to look at,祝,就,规,卵,咙,惋,杭,舵,预,HSK1
包,bāo,package,疤,色,厄,旬,句,祀,尼,危,凡,HSK1
半,bàn,half,平,牢,当,羊,牛,玉,罕,主,车,HSK1
星,xīng,star,旱,章,辜,皇,兽,靠,晋,胃,昔,HSK1
校,xiào,school,秩,极,枚,咬,液,殊,核,秽,铰,HSK1
晚,wǎn,late,魄,晓,瑰,磅,魂,咙,雅,鸽,艳,HSK1
哪,nǎ,which,挪,椰,绑,娜,那,卿,瓶,喊,械,HSK1
喜,xǐ,joy,辜,宫,害,宣,营,兽,肯,星,草,HSK1
欢,huān,joyous,炊,饮,砍,欲,钦,欺,次,欣,吹,HSK1
买,mǎi,to buy,实,头,卖,贤,变,奕,尖,安,突,HSK1
哥,gē,older brother,高,富,堂,亭,兽,胃,常,营,苛,HSK1
姐,jiě,older sister,姑,矩,娃,祖,拍,奸,辟,明,昨,HSK1
介,jiè,to introduce,个,价,久,分,欠,入,芥,众,之,HSK1
坏,huài,bad,环,塔,堵,社,虾,杯,拓,伴,扑,HSK1
牛,niú,cow,生,午,年,丰,开,半,主,土,十,HSK1
玩,wán,to play,抚,宪,坑,抗,氓,项,抨,荒,配,HSK1
蛋,dàn,egg,隶,诺,争,套,退,茎,酒,衰,结,HSK1
的,de,possess,朗,肘,码,弹,躬,句,胡,旬,张,HSK1
你,nǐ,you,松,尔,讼,烁,弥,似,称,亦,砍,HSK1
得,dé,to obtain,待,碍,褐,悄,绰,侍,偶,讶,荷,HSK1
里,lǐ,inside,臣,面,甲,王,亩,呈,干,旺,苗,HSK1
两,liǎng,two,俩,网,柄,锅,坐,惟,丙,诬,厢,HSK1
高,gāo,tall,富,哥,宫,兽,宣,堂,亭,胃,同,HSK1
走,zǒu,walk,定,足,弄,是,并,丧,尹,末,井,HSK1
少,shǎo,few,公,尖,么,吵,沙,杉,火,穴,秒,HSK1
做,zuò,to make,傲,极,椒,破,敏,散,致,吸,敌,HSK1
场,chǎng,site,劲,扬,杨,苏,畅,窃,域,球,垮,HSK1
期,qī,period of time,钥,脏,脖,驻,朗,照,嵌,萌,胡,HSK1
路,lù,road,胳,略,铭,格,落,络,皱,敢,骆,HSK1
师,shī,teacher,帅,肺,临,刑,听,监,幅,席,布,HSK1
商,shāng,salesman,帘,窖,崎,磊,离,裔,暗,寄,简,HSK1
百,bǎi,hundred,吉,自,目,白,巨,且,日,早,亩,HSK1
跟,gēn,heel,银,眼,艰,朗,钥,堤,结,胡,衷,HSK1
站,zhàn,station,坛,培,钻,沽,贴,馆,结,惧,沾,HSK1
热,rè,hot,熟,熬,感,烈,裁,激,谈,馁,然,HSK1
坐,zuò,to sit,巫,矩,件,佯,座,柱,年,炬,伴,HSK1
脑,nǎo,brain,躯,恼,驱,胸,鸥,姻,钢,碰,抠,HSK1
送,sòng,to deliver,迭,这,连,逆,达,逻,遗,进,违,HSK1
冷,lěng,cold,铃,伶,拎,玲,讼,怜,绘,公,令,HSK1
帮,bāng,to help,挚,堕,惠,撑,塑,驾,搏,愚,宽,HSK1
弟,dì,younger brother,芽,男,朗,舟,牙,弹,畏,明,尹,HSK1
忙,máng,busy,怔,悍,证,让,惜,杠,栏,棺,宿,HSK1
饭,fàn,meal,板,扳,彼,版,纹,被,牧,叛,妖,HSK1
喝,hē,to drink,鸣,莺,骂,蔼,呜,崎,鹊,喂,醇,HSK1
店,diàn,store,庄,庙,启,居,伯,届,压,估,右,HSK1
页,yè,page,贡,员,贵,贞,贝,责,另,贾,项,HSK1
汽,qì,steam,汛,沉,泻,氨,涩,溃,洗,涝,试,HSK1
零,líng,zero,琴,资,寒,凄,赛,浸,拳,逢,经,HSK1
渴,kě,thirsty,滑,混,淳,泻,滴,褐,清,润,淌,HSK1
到,dào,to arrive,窍,坛,倒,帘,谅,罚,孪,饲,掠,HSK1
说,shuō,to speak,锐,祝,况,悦,窃,既,骑,恍,觉,HSK1
年,nián,year,生,牛,午,丰,开,尹,主,半,祖,HSK1
道,dào,way,适,遣,造,追,逼,迪,遭,连,逞,HSK1
起,qǐ,to begin,超,匙,摸,赶,庞,脖,招,抚,捉,HSK1
前,qián,in front,削,剖,箭,丽,耐,呜,闹,帝,帘,HSK1
第,dì,ordinal number,策,菊,冤,筝,筹,庭,耍,傍,拳,HSK1
知,zhī,to know,矩,短,厢,巫,炬,坐,烟,胚,哈,HSK1
等,děng,etc,蒋,荐,意,孪,惠,辱,塑,争,蜜,HSK1
话,huà,talk,沽,括,活,钻,洁,刮,许,计,住,HSK1
老,lǎo,old age,孝,考,季,花,茅,宅,巷,孕,隶,HSK1
先,xiān,before,光,无,丸,克,抚,尤,兑,宪,元,HSK1
真,zhēn,true,具,其,宾,县,黄,填,乓,乒,专,HSK1
告,gào,to declare,吉,百,古,岩,右,亩,占,昔,舌,HSK1
觉,jué,senses,览,宽,预,剪,顶,陨,觅,祝,究,HSK1
快,kuài,fast,侠,状,挟,诀,峡,扶,夹,缺,伏,HSK1
医,yī,doctor,因,否,音,团,卤,歪,奇,查,西,HSK1
考,kǎo,exam,孝,老,茅,存,录,序,蛋,争,学,HSK1
房,fáng,house,旁,芳,庞,厉,尿,定,屁,痕,张,HSK1
答,dá,to answer,签,裕,俗,鉴,该,给,谷,经,徐,HSK1
京,jīng,capital,宗,空,亲,守,谊,云,即,祟,原,HSK1
球,qiú,ball,珠,埃,拯,捡,碌,跌,斑,跃,秧,HSK1
假,jià,vacation,便,废,怪,秽,做,硬,夜,棱,梗,HSK1
拿,ná,to hold,含,盒,禽,会,季,舍,命,金,余,HSK1
您,nín,thou,愁,缆,怨,滤,恐,统,流,悉,忍,HSK1
穿,chuān,to wear,茅,窝,季,李,学,窄,裔,窒,勇,HSK1
块,kuài,lump,扶,挟,歧,快,坊,决,诀,峡,捉,HSK1
谢,xiè,to thank,栋,刹,既,射,拣,销,躺,询,粽,HSK1
票,piào,ticket,祟,崇,宗,弯,谓,请,磊,蛮,帘,HSK1
旁,páng,side,宪,芳,晃,亮,房,宠,党,竞,寇,HSK1
饿,è,to be hungry,饶,娥,哦,搬,俄,艇,锻,烧,撼,HSK1
都,dōu,all,那,郁,阵,邦,郭,部,邪,陷,陪,HSK1
常,cháng,often,啃,南,帝,哥,带,堂,蒂,搞,苛,HSK1
教,jiào,to teach,拨,数,敦,毅,较,救,激,矮,婆,HSK1
系,xì,department,浮,紧,讼,泳,紊,汤,紫,秘,溉,HSK1
南,nán,south,莹,碧,围,晴,幸,堂,靠,辜,罩,HSK1
院,yuàn,courtyard,陨,宽,剪,搅,祝,冠,览,预,觉,HSK1
病,bìng,illness,痛,痒,痴,钥,瘤,得,痹,待,尿,HSK1
客,kè,guest,容,蓉,轻,妄,番,眷,奋,奢,笛,HSK1
钱,qián,coin,践,线,残,浅,铰,沸,我,浇,贱,HSK1
读,dú,to read,溢,裳,蒋,卖,诀,寝,弈,怪,寨,HSK1
慢,màn,slow,馒,漫,寝,怪,棱,漠,曼,度,侵,HSK1
跑,pǎo,to run,抱,地,饱,胞,拘,刨,袍,弛,跨,HSK1
睡,shuì,to sleep,唾,群,鲤,哺,肆,瞎,韩,鲜,暇,HSK1
馆,guǎn,building,惧,慎,恨,饵,谐,饲,洒,惊,站,HSK1
歌,gē,song,砍,歇,吹,喉,燥,族,敞,敬,款,HSK1
绍,shào,to connect,窃,绢,纪,留,综,缩,铅,垮,钥,HSK1
洗,xǐ,to wash,淀,沈,锐,犹,涝,恍,涕,选,沉,HSK1
累,lèi,tired,素,索,絮,蜜,寨,窝,蒋,辱,垒,HSK1
重,zhòng,heavy,董,童,辜,害,曹,置,星,靠,量,HSK1
给,gěi,to give,经,俭,绘,洽,俗,徐,殆,径,裕,HSK1
候,hòu,to wait,侯,唉,喉,侦,柴,傍,侠,突,倾,HSK1
影,yǐng,shadow,彰,彭,煲,须,涉,淘,彩,渡,膨,HSK1
错,cuò,mistake,针,诺,堵,钻,措,钟,押,茫,插,HSK1
贵,guì,expensive,贡,责,员,页,贾,赏,贺,贞,顷,HSK1
就,jiù,at once,规,视,豌,锐,碗,梳,鸦,咙,惋,HSK1
而,ér,and,盖,吊,血,晋,缸,叮,平,面,巾,HSK2
心,xīn,heart,小,沁,化,孙,必,匀,芯,礼,幻,HSK2
力,lì,power,万,方,九,刀,乃,历,尤,功,先,HSK2
又,yòu,again,文,叉,仅,反,义,丈,久,支,艾,HSK2
业,yè,profession,亚,忙,让,诈,立,尘,证,杠,冲,HSK2
己,jǐ,self,已,巴,兄,岂,另,记,厄,芭,巧,HSK2
入,rù,to enter,人,介,八,久,又,从,众,分,之,HSK2
才,cái,genius,本,牙,宋,术,李,朱,末,木,未,HSK2
目,mù,eye,百,且,自,白,巨,日,吉,旦,曰,HSK2
王,wáng,king,玉,干,工,臣,正,土,士,亩,面,HSK2
片,piàn,slice,店,庄,伯,芦,户,声,居,估,庙,HSK2
鸟,niǎo,bird,乌,岛,呜,号,写,寄,与,鸣,息,HSK2
斤,jīn,Chinese pound,斥,芹,后,听,户,乒,尺,长,所,HSK2
于,yú,in,卫,吁,巾,宁,宇,宝,玉,节,土,HSK2
发,fā,to send out,牧,交,友,波,及,彼,肢,胶,攻,HSK2
如,rú,to be like,妇,奸,姻,矩,姐,姑,姓,知,始,HSK2
当,dāng,to work as,半,证,谊,团,宝,歪,恒,平,岩,HSK2
因,yīn,cause,囚,医,卤,西,团,困,齿,音,否,HSK2
只,zhǐ,only,否,京,汇,区,亏,亡,侣,冥,团,HSK2
长,cháng,long,禾,衣,才,会,米,余,朱,奈,术,HSK2
公,gōng,public,么,讼,冷,尔,永,必,少,冰,令,HSK2
已,yǐ,already,己,巴,岂,兄,另,芭,亏,克,弓,HSK2
全,quán,whole,金,舍,合,本,术,盒,企,命,会,HSK2
相,xiāng,one another,柜,柏,棺,枉,杠,粘,租,杆,桂,HSK2
利,lì,profit,稍,闲,柄,科,梢,莉,衬,棵,梯,HSK2
加,jiā,to add,茄,叨,历,刑,厉,席,旭,脏,屑,HSK2
声,shēng,voice,居,届,芦,弄,岸,尹,片,店,眉,HSK2
处,chù,location,仗,牧,枚,权,蚊,收,败,玫,叹,HSK2
务,wù,tasks,笑,劣,努,奖,役,设,挨,浆,贫,HSK2
必,bì,certainly,泌,冰,讼,论,沟,浆,沧,泡,劣,HSK2
计,jì,to calculate,让,壮,证,针,卡,许,社,钻,车,HSK2
许,xǔ,to permit,诈,评,空,侄,蛮,详,罕,诺,证,HSK2
队,duì,team,阶,认,份,吩,扮,盼,尬,从,价,HSK2
思,sī,consider,忠,总,志,患,息,忘,朗,职,舟,HSK2
色,sè,color,龟,包,疤,免,老,龙,异,巷,尤,HSK2
该,gāi,should,咳,核,刻,裂,亥,经,液,凌,络,HSK2
万,wàn,ten thousand,刀,方,力,历,尺,乃,厉,月,户,HSK2
取,qǔ,to take,收,敌,蚊,玫,攻,政,叹,改,故,HSK2
改,gǎi,to alter,政,玫,收,敌,攻,圾,坡,取,坟,HSK2
收,shōu,to receive,取,敌,改,政,攻,故,牧,仗,玫,HSK2
办,bàn,to manage,劝,苏,访,协,边,伤,刃,成,切,HSK2
近,jìn,near,返,迟,迈,达,边,折,迁,拆,诉,HSK2
广,guǎng,extensive,户,厂,尺,产,万,历,刀,尸,方,HSK2
青,qīng,green,胃,肯,害,辜,喜,董,事,普,星,HSK2
虽,suī,although,宝,萤,坦,革,宙,审,早,昔,幸,HSK2
推,tuī,to push,堆,摧,挫,捕,押,捅,搓,惟,播,HSK2
节,jié,festival,苛,吁,苦,刊,芒,扫,莹,帝,吊,HSK2
讲,jiǎng,to lecture,拌,牲,胜,性,挫,件,钳,伴,狂,HSK2
刻,kè,to carve,咳,核,该,裂,签,寂,锣,荡,续,HSK2
乐,yuè,music,亦,尔,杀,东,饪,法,芯,凉,乎,HSK2
普,pǔ,universal,曾,音,智,兽,晋,菩,首,章,碧,HSK2
久,jiǔ,long time,众,义,夕,父,仅,欠,仪,介,叉,HSK2
印,yìn,to print,诈,昂,即,订,讨,泊,卸,币,仰,HSK2
阳,yáng,positive,陌,阻,西,担,昭,岩,石,但,胆,HSK2
排,pái,row,押,措,描,封,捕,插,挫,挡,挂,HSK2
酒,jiǔ,alcohol,洒,诺,泪,诈,语,诸,请,暮,宿,HSK2
闻,wén,to hear,谱,帘,请,谓,室,惰,垦,蛮,耻,HSK2
讨,tǎo,to discuss,订,诗,付,谅,钉,诈,亲,许,东,HSK2
忽,hū,to neglect,忍,怨,愁,谈,您,悉,悠,恐,惑,HSK2
春,chūn,springtime,暮,眷,着,看,奢,替,售,署,督,HSK2
礼,lǐ,ceremony,化,祀,孔,花,扎,北,屹,忆,轧,HSK2
笔,bǐ,pen,绝,瓷,爸,绕,线,毙,孩,钱,紫,HSK2
阴,yīn,negative,限,陡,防,部,阱,那,附,荫,廊,HSK2
雪,xuě,snow,雷,冒,营,围,害,辈,崖,哥,青,HSK2
弄,nòng,to play with,尹,声,是,幸,韦,走,羊,开,寺,HSK2
亿,yì,one hundred million,忆,乞,乙,吃,艺,屹,礼,代,化,HSK2
